"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []"
12.7,0.45,180.750964,-69.249036,3080.96840380461
12.7,0.45,181.500968,-68.499032,4313.68534544196
12.7,0.45,182.250972,-67.749028,5508.43192708094
12.7,0.45,183.000976,-66.999024,6506.81994532886
12.7,0.45,183.75098,-66.24902,7526.64131899916
12.7,0.45,184.500984,-65.499016,8564.47179199986
12.7,0.45,185.250988,-64.749012,9602.30226500057
12.7,0.45,186.000992,-63.999008,10647.0651165075
12.7,0.45,186.750996,-63.249004,11452.7805845398
12.7,0.45,187.501,-62.499,12258.4960525721
12.7,0.45,188.251004,-61.748996,13064.2115206044
12.7,0.45,189.001008,-60.998992,13869.9269886367
12.7,0.45,189.751012,-60.248988,14584.7658983409
12.7,0.45,190.501016,-59.498984,15524.06387839
12.7,0.45,191.25102,-58.74898,16119.7852303731
12.7,0.45,192.001024,-57.998976,16715.5065823563
12.7,0.45,192.751028,-57.248972,17344.9500020354
12.7,0.45,193.501032,-56.498968,17981.9189792017
12.7,0.45,194.251036,-55.748964,18618.8879563679
12.7,0.45,195.00104,-54.99896,18981.2578217356
12.7,0.45,195.751044,-54.248956,19497.3546711173
12.7,0.45,196.501048,-53.498952,20066.0636473692
12.7,0.45,197.251052,-52.748948,20446.0045617138
12.7,0.45,198.001056,-51.998944,20825.9454760584
12.7,0.45,198.75106,-51.24894,21205.8863904031
12.7,0.45,199.501064,-50.498936,21534.5592818559
12.7,0.45,200.251068,-49.748932,21829.1202596888
12.7,0.45,201.001072,-48.998928,22204.7494541709
12.7,0.45,201.751076,-48.248924,22447.703070788
12.7,0.45,202.50108,-47.49892,22690.6566874052
12.7,0.45,203.251084,-46.748916,22889.1674574497
12.7,0.45,204.001088,-45.998912,23093.7911119301
12.7,0.45,204.751092,-45.248908,23272.2801147038
12.7,0.45,205.501096,-44.498904,23446.5050984306
12.7,0.45,206.2511,-43.7489,23575.037034216
12.7,0.45,207.001104,-42.998896,23703.5689700015
12.7,0.45,207.751108,-42.248892,23832.1009057869
12.7,0.45,208.501112,-41.498888,23875.6563183299
12.7,0.45,209.251116,-40.748884,23935.7537588164
12.7,0.45,210.00112,-39.99888,23962.3464550849
12.7,0.45,210.751124,-39.248876,24027.6039662501
12.7,0.45,211.501128,-38.498872,24051.960243596
12.7,0.45,212.251132,-37.748868,24040.7100529158
12.7,0.45,213.001136,-36.998864,24043.4578237364
12.7,0.45,213.75114,-36.24886,24043.6001017343
12.7,0.45,214.501144,-35.498856,23967.8176989576
12.7,0.45,215.251148,-34.748852,23917.0747305995
12.7,0.45,216.001152,-33.998848,23896.3852699557
12.7,0.45,216.751156,-33.248844,23815.441658298
12.7,0.45,217.50116,-32.49884,23731.9375601234
12.7,0.45,218.251164,-31.748836,23659.2887695765
12.7,0.45,219.001168,-30.998832,23586.6399790296
12.7,0.45,219.751172,-30.248828,23469.9870033076
12.7,0.45,220.501176,-29.498824,23356.2560999322
12.7,0.45,221.25118,-28.74882,23242.759800973
12.7,0.45,222.001184,-27.998816,23103.7175054897
12.7,0.45,222.751188,-27.248812,22972.5995835707
12.7,0.45,223.501192,-26.498808,22841.5732789323
12.7,0.45,224.251196,-25.748804,22705.079537028
12.7,0.45,225.0012,-24.9988,22569.2129530006
12.7,0.45,225.751204,-24.248796,22411.2768316376
12.7,0.45,226.501208,-23.498792,22250.968569062
12.7,0.45,227.251212,-22.748788,22090.6603064863
12.7,0.45,228.001216,-21.998784,21930.3520439107
12.7,0.45,228.75122,-21.24878,21777.1980447616
12.7,0.45,229.501224,-20.498776,21600.6249170087
12.7,0.45,230.251228,-19.748772,21422.0888516784
12.7,0.45,231.001232,-18.998768,21243.5527863482
12.7,0.45,231.751236,-18.248764,21065.0167210179
12.7,0.45,232.50124,-17.49876,20885.2582800992
12.7,0.45,233.251244,-16.748756,20705.8684687118
12.7,0.45,234.001248,-15.998752,20523.1338128801
12.7,0.45,234.751252,-15.248748,20337.9640866966
12.7,0.45,235.501256,-14.498744,20152.3856417688
12.7,0.45,236.25126,-13.74874,19963.9607912853
12.7,0.45,237.001264,-12.998736,19775.5359408019
12.7,0.45,237.751268,-12.248732,19587.1110903185
12.7,0.45,238.501272,-11.498728,19398.6862398351
