"$RC_shield_offset [mm]","$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []","Distance-250mm [mm]","Ex []","Distance-250mm [mm]","Ey []"
10,0.45,19.500104,-230.499896,-57.189246664508,-230.499896,-0.0565187779392567,-230.499896,0.00621447256798505
10,0.45,20.250108,-229.749892,-58.3199343012815,-229.749892,0.103654933738972,-229.749892,-0.260626736551747
10,0.45,21.000112,-228.999888,-59.8532689591272,-228.999888,0.126872675390952,-228.999888,-0.205219410994081
10,0.45,21.750116,-228.249884,-61.386603616973,-228.249884,0.150090417042931,-228.249884,-0.149812085436414
10,0.45,22.50012,-227.49988,-62.9199382748187,-227.49988,0.173308158694911,-227.49988,-0.0944047598787475
10,0.45,23.250124,-226.749876,-64.4532729326644,-226.749876,0.19652590034689,-226.749876,-0.0389974343210811
10,0.45,24.000128,-225.999872,-65.9866075905101,-225.999872,0.21974364199887,-225.999872,0.0164098912365858
10,0.45,24.750132,-225.249868,-67.5199422483558,-225.249868,0.242961383650849,-225.249868,0.0718172167942522
10,0.45,25.500136,-224.499864,-69.0182729681956,-224.499864,0.0949436583999985,-224.499864,0.155808456921289
10,0.45,26.25014,-223.74986,-70.5407354431014,-223.74986,0.0707473692467084,-223.74986,0.210195373545983
10,0.45,27.000144,-222.999856,-72.7543928262607,-222.999856,-0.0416166037769473,-222.999856,0.210770787634219
10,0.45,27.750148,-222.249852,-74.2655999621285,-222.249852,-0.151135065097372,-222.249852,0.0435409057520879
10,0.45,28.500152,-221.499848,-76.3834267081401,-221.499848,-0.200715076675997,-221.499848,0.127334012485942
10,0.45,29.250156,-220.749844,-78.5215292673606,-220.749844,-0.286885817276902,-220.749844,0.297591038769081
10,0.45,30.00016,-219.99984,-80.5530275541393,-219.99984,-0.208884978180933,-219.99984,0.302519053116907
10,0.45,30.750164,-219.249836,-82.4851687535814,-219.249836,-0.210895870427882,-219.249836,0.0260553620957708
10,0.45,31.500168,-218.499832,-84.4880865496437,-218.499832,-0.163698942851833,-218.499832,-0.0346950295399373
10,0.45,32.250172,-217.749828,-86.491004345706,-217.749828,-0.116502015275785,-217.749828,-0.0954454211756448
10,0.45,33.000176,-216.999824,-89.3676739401004,-216.999824,-0.0864455185380726,-216.999824,0.281307063445693
10,0.45,33.75018,-216.24982,-91.570352623815,-216.24982,0.0600122155980837,-216.24982,0.166942269442848
10,0.45,34.500184,-215.499816,-92.9780377664267,-215.499816,-0.507550949590042,-215.499816,-0.122329463070831
10,0.45,35.250188,-214.749812,-96.131234609843,-214.749812,0.253005191926959,-214.749812,0.2776466997293
10,0.45,36.000192,-213.999808,-99.007151507459,-213.999808,0.219172354324599,-213.999808,0.174587209718773
10,0.45,36.750196,-213.249804,-101.883068405075,-213.249804,0.18533951672224,-213.249804,0.0715277197082458
10,0.45,37.5002,-212.4998,-104.758985302691,-212.4998,0.15150667911988,-212.4998,-0.0315317703022814
10,0.45,38.250204,-211.749796,-107.634902200307,-211.749796,0.117673841517521,-211.749796,-0.134591260312809
10,0.45,39.000208,-210.999792,-110.510819097923,-210.999792,0.0838410039151614,-210.999792,-0.237650750323336
10,0.45,39.750212,-210.249788,-113.495307728829,-210.249788,0.328326670667438,-210.249788,-0.493786777747398
10,0.45,40.500216,-209.499784,-117.299733991375,-209.499784,0.142827290916627,-209.499784,0.335315859013444
10,0.45,41.25022,-208.74978,-120.424406000737,-208.74978,-0.0503813346051902,-208.74978,0.207765043995619
10,0.45,42.000224,-207.999776,-123.354863807484,-207.999776,-0.128981922656335,-207.999776,0.255543370888202
10,0.45,42.750228,-207.249772,-127.415926430727,-207.249772,-0.348927241827074,-207.249772,0.150975660470605
10,0.45,43.500232,-206.499768,-131.414718847226,-206.499768,-0.45904532438588,-206.499768,-0.0284838168347696
10,0.45,44.250236,-205.749764,-135.17773169887,-205.749764,-0.355731196102226,-205.749764,0.0436890960472174
10,0.45,45.00024,-204.99976,-138.937304318624,-204.99976,-0.259351827672382,-204.99976,0.102481138822055
10,0.45,45.750244,-204.249756,-142.696876938379,-204.249756,-0.162972459242538,-204.249756,0.161273181596893
10,0.45,46.500248,-203.499752,-147.298583740622,-203.499752,-0.0479595116889779,-203.499752,0.133498412187058
10,0.45,47.250252,-202.749748,-152.017556725245,-202.749748,0.051557274029204,-202.749748,0.182121003692983
10,0.45,48.000256,-201.999744,-156.736529709867,-201.999744,0.151074059747385,-201.999744,0.230743595198908
10,0.45,48.75026,-201.24974,-161.567388554245,-201.24974,0.385359744511035,-201.24974,0.365026456279341
10,0.45,49.500264,-200.499736,-167.039088215283,-200.499736,0.0251698659898522,-200.499736,0.324551211026228
10,0.45,50.250268,-199.749732,-172.551871444917,-199.749732,-0.444396560104957,-199.749732,0.250680909107663
