"$ring2_voltage [kV]","Distance [mm]","Distance-250mm [mm]","Ez []","Distance-250mm [mm]","Ex []","Distance-250mm [mm]","Ey []"
0.45,24.750132,-225.249868,-83.6009726113857,-225.249868,-0.110209637114628,-225.249868,0.0927309268296753
0.45,25.500136,-224.499864,-85.6135772990102,-224.499864,-0.0478027007266266,-224.499864,0.18065075147247
0.45,26.25014,-223.74986,-87.6261819866347,-223.74986,0.0146042356613748,-223.74986,0.268570576115265
0.45,27.000144,-222.999856,-90.6008191497276,-222.999856,0.0968941632973506,-222.999856,0.234023846891839
0.45,27.750148,-222.249852,-93.2962383064526,-222.249852,0.196238523507394,-222.249852,0.287539181707534
0.45,28.500152,-221.499848,-95.9916574631777,-221.499848,0.295582883717438,-221.499848,0.341054516523229
0.45,29.250156,-220.749844,-98.6870766199028,-220.749844,0.394927243927483,-220.749844,0.394569851338924
0.45,30.00016,-219.99984,-101.201714568486,-219.99984,0.464405852178273,-219.99984,0.132000438125064
0.45,30.750164,-219.249836,-103.941127786088,-219.249836,0.712949242110634,-219.249836,0.0980178251339815
0.45,31.500168,-218.499832,-106.608235160641,-218.499832,0.796891639374236,-218.499832,-0.0241234146264637
0.45,32.250172,-217.749828,-110.663192360242,-217.749828,-0.0585915731043292,-217.749828,-0.0121552026391711
0.45,33.000176,-216.999824,-113.385614982443,-216.999824,0.183506208837168,-216.999824,0.251641357389339
0.45,33.75018,-216.24982,-116.79811733102,-216.24982,0.157312015946336,-216.24982,0.218148567759232
0.45,34.500184,-215.499816,-120.210619679597,-215.499816,0.131117823055504,-215.499816,0.184655778129125
0.45,35.250188,-214.749812,-123.623122028174,-214.749812,0.104923630164672,-214.749812,0.151162988499018
0.45,36.000192,-213.999808,-127.035624376751,-213.999808,0.0787294372738391,-213.999808,0.117670198868911
0.45,36.750196,-213.249804,-130.622744592092,-213.249804,0.0573741035560346,-213.249804,0.119209854367905
0.45,37.5002,-212.4998,-135.104157946048,-212.4998,0.0192128339551308,-212.4998,0.0449321528128073
0.45,38.250204,-211.749796,-139.585571300004,-211.749796,-0.0189484356457707,-211.749796,-0.0293455487422902
0.45,39.000208,-210.999792,-144.066984653959,-210.999792,-0.0571097052466749,-210.999792,-0.103623250297388
0.45,39.750212,-210.249788,-148.548398007915,-210.249788,-0.095270974847578,-210.249788,-0.177900951852485
0.45,40.500216,-209.499784,-154.246520846162,-209.499784,0.526638673455107,-209.499784,0.420510814531877
0.45,41.25022,-208.74978,-158.999732741773,-208.74978,0.302644954089332,-208.74978,0.157946380690558
0.45,42.000224,-207.999776,-163.721525872566,-207.999776,0.0421122308184977,-207.999776,-0.0638147634805901
0.45,42.750228,-207.249772,-168.258531362811,-207.249772,-1.0019231364415,-207.249772,0.820575619955908
0.45,43.500232,-206.499768,-174.617078853686,-206.499768,-1.04661868900718,-206.499768,0.330718062742149
0.45,44.250236,-205.749764,-180.975626344561,-205.749764,-1.09131424157285,-205.749764,-0.159139494471611
0.45,45.00024,-204.99976,-187.105538810633,-204.99976,-0.932852035951867,-204.99976,-0.226880044640661
0.45,45.750244,-204.249756,-192.953938920789,-204.249756,-0.63747522093954,-204.249756,-0.0652419976630684
0.45,46.500248,-203.499752,-198.802339030945,-203.499752,-0.342098405927214,-203.499752,0.0963960493145237
0.45,47.250252,-202.749748,-204.6507391411,-202.749748,-0.0467215909148862,-202.749748,0.258034096292116
0.45,48.000256,-201.999744,-213.815126738399,-201.999744,-0.125526695725185,-201.999744,0.769835097987945
